city,4/20/2020,4/23/2020,4/24/2020,4/26/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/4/2020,5/5/2020,5/6/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020
גן יבנה,25,25,25,26,26,26,26,26,27,27,27,27,27,27,27
גני תקווה,38,44,44,45,45,45,46,46,47,47,47,47,47,47,47
דבוריה,26,29,29,29,31,31,31,31,31,31,31,31,31,31,31
דייר אל-אסד,99,132,145,145,146,146,146,147,150,150,150,151,151,151,152
דייר חנא,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11
דימונה,26,27,27,27,27,27,28,28,28,28,28,28,28,28,28
דרום השרון,,,,,36,36,36,36,36,36,36,36,36,36,36
הגליל העליון,,,,,,6,6,6,6,6,6,6,6,6,6
הגליל התחתון,,,,,20,20,20,20,20,20,20,20,20,20,20
הוד השרון,40,41,41,41,41,41,42,42,42,42,42,42,42,42,42
הר חברון,,,,,30,30,30,30,30,30,30,30,30,30,30
הרצליה,99,100,101,102,102,102,102,102,105,105,105,105,105,105,106
זכרון יעקב,35,36,36,36,36,37,37,37,37,37,37,37,37,37,37
זמר,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
חבל מודיעין,,,,,20,20,20,20,20,20,20,20,20,20,20
חדרה,44,49,50,50,51,51,51,51,51,51,51,51,51,51,51
חולון,167,169,170,171,177,177,177,177,178,178,181,181,181,181,183
חוף אשקלון,,,,,19,19,19,19,19,19,19,19,19,19,19
חוף הכרמל,,,,,16,16,16,16,16,16,16,16,16,16,16
חורה,0,1,3,19,66,69,82,99,121,123,124,130,130,132,132
חורפיש,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
חיפה,143,148,149,161,164,164,164,166,167,167,167,170,170,170,171
חצור הגלילית,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
חריש,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16
טבריה,157,162,165,166,166,166,166,166,166,167,167,167,167,167,167
טובא-זנגריה,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
טייבה,14,34,42,42,47,47,48,49,49,49,49,49,49,49,49
טירה,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7
טירת כרמל,15,15,15,17,18,18,18,18,18,18,18,18,18,18,18
טמרה,16,17,17,19,21,21,21,21,21,21,22,22,22,22,22
יאנוח-ג'ת,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
יבנה,35,37,37,37,38,38,38,38,38,38,38,38,38,38,38
יהוד,69,69,69,70,79,79,79,79,79,79,79,80,80,80,80
יפיע,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
יקנעם עילית,13,13,14,16,16,17,17,17,17,17,17,17,17,17,17
ירוחם,7,7,7,9,10,10,10,10,10,10,10,10,10,10,10
ירושלים,2758,3061,3136,3279,3421,3458,3496,3552,3577,3579,3592,3625,3635,3635,3639
ירכא,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2
כאבול,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
כוכב יאיר,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13
כוכב יעקב,56,57,58,58,59,59,59,59,59,59,59,59,59,59,59
כסיפה,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
כפר ורדים,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"כפר חב""ד",42,43,43,43,44,44,44,44,44,44,44,44,44,44,44
כפר יאסיף,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
כפר יונה,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
כפר כנא,4,8,8,14,16,16,16,16,16,16,16,16,16,16,16
כפר סבא,68,69,69,69,72,72,72,72,73,73,73,74,74,74,74
כפר קאסם,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17
כפר קרע,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10
כרמיאל,49,49,49,51,52,52,52,52,52,52,52,53,53,53,53
לב השרון,,,,,18,18,18,18,18,18,18,18,18,18,18
להבים,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
לוד,84,84,85,86,87,87,87,88,89,89,89,89,89,89,89
לקיה,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
מבשרת ציון,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
מג'ד אל-כרום,3,6,6,8,15,15,16,17,19,19,19,20,20,20,20
מג'דל שמס,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
מגאר,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9
מגדל העמק,99,100,100,100,101,101,101,101,101,101,101,101,101,101,101
מודיעין-מכבים-רעות,112,112,112,112,119,119,119,119,119,119,119,121,121,121,121
מודיעין עילית,284,335,353,375,396,397,405,408,409,409,409,411,412,412,412
מזכרת בתיה,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12
מטה בנימין,,,,,171,171,171,171,171,171,171,171,171,171,171
מטה יהודה,,,,,50,50,50,50,50,50,50,50,50,50,50
מיתר,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
מנשה,,,,,4,4,4,4,4,4,4,4,4,4,4
מסעודין אל-עזאזמה,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
מעלה אדומים,42,49,50,51,52,52,52,52,52,52,52,52,52,52,52
מעלה עירון,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
מעלות-תרשיחא,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13
מצפה רמון,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
מרום הגליל,,,,,25,25,25,25,25,25,25,25,25,25,25
מרחבים,,,,,60,60,60,60,60,60,60,60,60,60,60
נהריה,34,36,36,39,40,40,40,40,40,40,40,41,41,41,42
נוף הגליל,30,31,31,31,32,32,32,33,33,33,33,33,33,33,33
נחל שורק,,,,,21,21,21,21,21,21,21,21,21,21,21
נחף,6,6,7,9,9,9,9,9,9.666666667,10.33333333,11,11,11,11,11
נס ציונה,19,19,19,19,19,21,23,23,24,24,24,24,24,24,24
נצרת,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
נשר,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
נתיבות,65,82,85,89,94,94,94,95,96,96,96,97,101,101,101
נתניה,171,173,173,174,176,177,177,177,177,177,177,177,178,178,178
סח'נין,8,12,12,15,17,17,17,17,17,17,17,17,17,17,17
עומר,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
עיילבון,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
עילוט,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
עין מאהל,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
עכו,21,22,22,24,25,27,28,28,28,28,28,28,28,28,28
עמק חפר,,,,,29,29,29,29,29,29,29,29,29,29,29
עמק יזרעאל,,,,,22,22,22,22,22,22,22,22,22,22,22
עספיא,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
עפולה,59,59,59,60,63,64,64,64,64,64,64,65,65,65,65
עראבה,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7
ערד,15,15,15,16,17,17,17,17,17,18,18,18,19,19,19
ערערה,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ערערה-בנגב,1,5,6,12,17,17,18,18,19,20,20,20,21,21,23
עתלית,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
פוריידיס,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10
פקיעין (בוקייעה),12,15,15,15,15,15,15,15,15,15,15,15,15,15,15
פרדס חנה-כרכור,12,15,16,16,17,17,18,18,18,18,18,18,18,18,18
פרדסיה,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
פתח תקווה,240,254,256,264,274,278,281,283,284,284,286,289,290,290,292
צור הדסה,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
צור יצחק,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
צפת,66,66,66,66,70,70,70,70,71,72,72,72,72,72,72
קדימה-צורן,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15
קיסריה,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
קלנסווה,1,6,6,6,6,6,6,6,8,8.333333333,8.666666667,9,9,9,9
קצרין,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
קרית אונו,48,49,49,49,52,52,52,52,52,52,52,52,52,52,52
קרית ארבע,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
קרית אתא,22,22,22,25,25,25,25,25,25,25,25,25,25,25,25
קרית ביאליק,13,13,13,15,17,17,17,17,17,17,17,17,17,17,17
קרית גת,42,47,48,49,51,51,51,51,52,52,52,52,53,53,54
קרית טבעון,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
קרית ים,24,24,24,28,29,29,29,29,29,29,29,29,29,29,29
קרית יערים,35,36,36,36,39,39,39,39,39,39,39,39,39,39,39
קרית מוצקין,10,11,11,12,14,14,14,14,14,14,14,14,14,14,14
קרית מלאכי,49,50,51,52,55,55,55,55,55,55,55,55,56,56,56
קרית עקרון,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
קרית שמונה,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15
קרני שומרון,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ראמה,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ראש העין,41,45,45,45,50,51,51,51,51,51,51,51,53,53,53
ראשון לציון,207,211,212,212,217,217,219,219,219,219,219,219,219,220,220
רהט,43,47,47,52,55,57,57,57,59,59,59,62,62,62,62
רחובות,113,116,116,116,118,118,118,118,118,118,119,121,121,121,124
רכסים,33,34,34,37,40,40,40,40,40,40,40,40,40,40,40
רמלה,56,57,57,57,57,57,58,58,58,58,58,58,58,58,60
רמת גן,171,173,175,178,184,188,189,191,191,191,191,191,191,191,191
רמת השרון,42,42,42,42,44,44,44,44,44,45,45,46,47,47,47
רמת ישי,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
רעננה,127,132,132,137,137,137,137,139,140,140,140,140,140,141,141
שבלי - אום אל-גנם,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
שדות דן,,,,,82,82,82,82,82,82,82,82,82,82,82
שדרות,30,31,31,31,31,31,31,31,32,32,32,32,32,32,32
שוהם,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35
שומרון,,,,,59,59,62,62,62,62,62,62,62,62,62
שלומי,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
שעב,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8
שערי תקווה,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
שפיר,,,,,19,19,19,19,19,19,19,19,19,19,19
שפרעם,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
תל אביב - יפו,486,491,492,496,531,532,533,534,537,537,537,544,546,547,551
תל מונד,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14
תל שבע,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
עלי,,,,,,,,,,19,19,19,19,19,19
יבנאל,,,,,,,,,,18,18,18,18,18,18
