city,total,sector,county,calibration_county
בית גמליאל,1468,secular,44,44
בית גן,5342,secular,44,44
בית דגן,6681,secular,43,43
בית הלוי העוגן,2479,secular,41,41_jewish
בית הלל הגושרים מעיין ברוך יובל,1981,secular,21,21
בית העמק שייח דנון עמקה נתיב השיירה כליל אשרת,9784,secular,24,24_jewish
בית זית,7344,secular,11,11
בית זרע אפיקים מסדה שער הגולן,1117,secular,22,22_jewish
בית חורון,5958,secular,71,71
בית חנן בית עובד אירוס,3180,secular,44,44
בית חנניה,7448,secular,32,32_jewish
בית יהושע כפר נטר,6501,secular,41,41_jewish
בית יוסף חמדיה נווה אור ירדנה,1370,secular,23,23_jewish
בית יצחק-שער חפר,7361,secular,41,41_jewish
בית נחמיה,5072,secular,43,43
בית ניר שדה משה גת (קיבוץ) גלאון ניר בנים בית גוברין ורדון מנוחה נחלה סגולה,12639,secular,61,61
בית עוזיאל פדיה פתחיה,3052,secular,43,43
בית עריף,7388,secular,43,43
בית קמה,3360,secular,62,62_jewish
בית קשת כדורי,1386,secular,22,22_jewish
בית שאן,12797,secular,23,23_jewish
בית שמש,19521,orth,11_betshemesh,11_betshemesh
ביתר עילית,36059,orth,71,71_haredi
בלפוריה תל עדשים מזרע כפר גדעון,9707,secular,23,23_jewish
בן זכאי,9934,secular,61,61
בני ברק,104924,orth,51_bb,51_bb
בני דרום ניר גלים,3403,secular,44,44
בני דרור,2192,secular,41,41_jewish
בני עטרות,3364,secular,42,42_secular
בני עיש,620,secular,44,44
בני ראם,1258,secular,44,44
בניה,1297,secular,44,44
בנימינה-גבעת עדה,15322,secular,32,32_jewish
בסמה,1943,arab,32,32_arab
בסמת טבעון,10203,secular,31,31_jewish
בענה,6801,arab,24,24_arab
בצרה קריית שלמה בני ציון חרוצים,6647,secular,41,41_jewish
בר גיורא נס הרים,4558,secular,11,11
ברוש תדהר תאשור,1652,secular,62,62_jewish
ברקן קריית נטפים רבבה,5016,secular,71,71
בת ים,100743,secular,51,51
בת שלמה מאיר שפיה,2538,secular,32,32_jewish
גאולים ינוב תנובות,4597,secular,41,41_jewish
גאליה,2975,secular,44,44
גבים ומכללת ספיר,244,secular,61,61
גבע בנימין,9853,secular,71,71
גבעון החדשה גבעת זאב,6103,secular,71,71
גבעת ברנר,3963,secular,44,44
גבעת השלושה,4078,secular,42,42_secular
גבעת זאב,20031,secular,71,71
גבעת חן,1785,secular,42,42_secular
גבעת נילי רגבים אביאל עמיקם,13255,secular,32,32_jewish
גבעת שמואל,22029,secular,42,42_secular
גבעתיים,44346,secular,51,51
גברעם יד מרדכי מבקיעים זיקים כרמייה נתיב העשרה,8068,secular,61,61
גדות מחניים משמר הירדן,1319,secular,21,21
גדיידה-מכר,6090,arab,24,24_arab
גדרה,22423,secular,44,44
גולס טל-אל,6973,secular,24,24_jewish
גיבתון,586,secular,44,44
גילון צורית,6964,secular,24,24_jewish
גית,13460,arab,32,32_arab
גיתה יאנוח-גת,3189,secular,24,24_jewish
גלגוליה,7097,arab,42,42_arab
גליל ים,4413,secular,51,51
גן הדרום,680,secular,44,44
גן יבנה,22115,secular,44,44
גן נר,4922,secular,23,23_jewish
גן שלמה,1652,secular,44,44
גן שמואל תלמי אלעזר,3330,secular,32,32_jewish
גנות,1091,secular,43,43
גני יוחנן,2110,secular,44,44
גני מודיעין,483,secular,71,71
גני תקווה,19851,secular,42,42_secular
גסר א-זרקא,13131,arab,32,32_arab
גש (גוש חלב),2931,arab,21,21
גת רימון מעש,2816,secular,42,42_secular
דאלית אל-כרמל,14574,secular,31,31_arab
דבורייה,5474,arab,23,23_arab
דבירה,3185,secular,62,62_jewish
דברת ניין אחוזת ברק,7417,secular,23,23_jewish
דולב נחליאל טלמון,17903,secular,71,71
דור,851,secular,32,32_jewish
דורות רוחמה  יכיני,4255,secular,61,61
דחי,13,arab,23,23_arab
דייר אל-אסד,6536,arab,24,24_arab
דייר חנא,36860,arab,24,24_arab
דייר ראפאת גבעת שמש צרעה ישעי,3420,secular,11,11
דימונה,31578,secular,62,62_jewish
דלתון ריחאנייה כרם בן זמרה עלמה כדיתה,3621,secular,21,21
דמיידה,1143,arab,24,24_arab
דפנה דן שאר ישוב כפר סאלד שניר,1575,secular,21,21
הדר עם כפר חיים משמר השרון מעברות כפר ידידיה,3317,secular,41,41_jewish
הוד השרון,65951,secular,42,42_secular
הזורעים אלומות פורייה - כפר עבודה פורייה - נווה עובד פורייה עילית,2774,secular,22,22_jewish
החותרים מגדים,5025,secular,32,32_jewish
הילה,2272,secular,24,24_jewish
המעפיל אחיטוב,2136,secular,41,41_jewish
הר אדר,6574,secular,11,11
הר גילה,20013,secular,71,71
הרצלייה,99236,secular,51,51
הררית אבטליון,2838,secular,24,24_jewish
זיתן אחיעזר יגל,7751,secular,43,43
זכרון יעקב,20236,secular,32,32_jewish
זמר,14124,arab,41,41_arab
זנוח,450,secular,11,11
זרזיר מנשית זבדה,8662,secular,23,23_jewish
חגור,4280,secular,42,42_secular
חגי,26630,secular,71,71
חדיד,907,secular,43,43
חדרה,91648,secular,32,32_jewish
חולדה משמר דוד,4400,secular,43,43
חולון,177770,secular,51,51
חולות חלוצה,1246,secular,62,62_jewish
חוסן צוריאל,2529,secular,24,24_jewish
חופית נעורים כפר ויתקין בית ינאי מכמורת בית חירות מבואות ים,7024,secular,41,41_jewish
חורה,6724,arab,62_arab,62_arab
חורפיש,3120,secular,24,24_jewish
חורשים,2880,secular,42,42_secular
חזון,415,secular,22,22_jewish
חיפה,248591,secular,31,31_jewish
חירות כפר הס משמרת כפר עבודה,9369,secular,41,41_jewish
חלמיש עטרת,10914,secular,71,71
חמד,1464,secular,43,43
חמרה גיתית מכורה,4387,secular,71,71
חניתה מצובה בצת שלומי,4776,secular,24,24_jewish
חפץ חיים יד בנימין גני טל בית חלקיה,4524,secular,44,44
חפצי-בה בית אלפא בית השיטה,4421,secular,23,23_jewish
חצבה עין יהב עידן עיר אובות,6681,secular,62,62_jewish
חצור הגלילית,11008,secular,21,21
חצרים,6642,secular,62,62_jewish
חריש,9994,secular,32,32_jewish
חרשים,43,secular,24,24_jewish
חשמונאים,3206,secular,71,71
טבריה,27208,secular,22,22_jewish
טורעאן,1716,arab,23,23_arab
טייבה,7332,arab,41,41_arab
טירה,4379,arab,41,41_arab
טירת יהודה גבעת כח ברקת,8311,secular,42,42_secular
טירת כרמל,17373,secular,31,31_jewish
טירת צבי שדה אליהו עין הנציב,4006,secular,23,23_jewish
טל שחר נחשון בקוע נווה שלום,6536,secular,11,11
טמרה,839,arab,24,24_arab
טפחות,1224,secular,22,22_jewish
יבנאל,1866,secular,22,22_jewish
יבנה,36983,secular,44,44
יגור,1473,secular,31,31_jewish
יד חנה בת חפר,15169,secular,41,41_jewish
יד רמבם גזר עזריה כפר שמואל בית חשמונאי,10109,secular,43,43
יהוד,29164,secular,42,42_secular
יזרעאל יעל אביטל פרזון מיטב,3493,secular,23,23_jewish
יחיעם געתון עין יעקב,7892,secular,24,24_jewish
יסוד המעלה איילת השחר חולתה שדה אליעזר,3098,secular,21,21
יסודות נצר חזני,3347,orth,43,43
יסעור אחיהוד,9408,secular,24,24_jewish
יפיע,1156,arab,23,23_arab
יציץ,805,secular,44,44
יקום,2760,secular,41,41_jewish
יקיר נופים,4477,secular,71,71
יקנעם (מושבה),3125,secular,23,23_jewish
יקנעם עילית,13640,secular,23,23_jewish
יראון ברעם דובב אביבים,2346,secular,21,21
ירוחם,9262,secular,62,62_jewish
ירושלים,754867,secular,11,11
ירושלים-חרדים,98603,orth,11,11_haredi
ירחיב נירית מתן,5174,secular,42,42_secular
ירכא,10140,secular,24,24_jewish
ירקונה גני עם,1541,secular,42,42_secular
ישרש,1592,secular,43,43
כאבול,1001,arab,24,24_arab
כאוכב אבו אל-היגא יודפת שכניה מנוף מורשת קורנית,9583,secular,24,24_jewish
כברי עבדון מנות,3359,secular,24,24_jewish
כוכב השחר רימונים,801,secular,71,71
כוכב יאיר,11200,secular,42,42_secular
כוכב יעקב,5423,orth,71,71_haredi
כחל,510,secular,21,21
כישור תובל לפידות פלך,7024,secular,24,24_jewish
כנרת (קבוצה) דגניה א כנרת (מושבה) דגניה ב,3206,secular,22,22_jewish
כסיפה,4991,arab,62_arab,62_arab
כסרא-סמיע,6086,secular,24,24_jewish
כעביה-טבאש-חגאגרה,4361,secular,23,23_jewish
כפר אדומים,9322,secular,71,71
כפר אוריה הראל תעוז תרום צלפון גיזו,5530,secular,11,11
כפר ביאליק,3172,secular,31,31_jewish
כפר בילו,3981,secular,44,44
כפר ברא,3753,arab,42,42_arab
כפר גלים,386,secular,31,31_jewish
כפר גליקסון אלוני יצחק,1186,secular,32,32_jewish
כפר דניאל גמזו,6536,secular,43,43
כפר האורנים,2791,secular,71,71
כפר החורש תמרת גבעת אלה,15151,secular,23,23_jewish
כפר הנגיד,3703,secular,44,44
כפר הנשיא טובא-זנגרייה,667,secular,21,21
כפר הראה חיבת ציון חרב לאת גאולי תימן,3188,secular,41,41_jewish
כפר ורבורג משואות יצחק עין צורים שפיר זרחיה מרכז שפירא,5834,secular,61,61
כפר ורדים,8509,secular,24,24_jewish
כפר חבד,7178,secular,43,43
כפר חסידים א כפר חסידים ב כפר הנוער הדתי,4636,secular,32,32_jewish
כפר חרוב בני יהודה מיצר גבעת יואב מבוא חמה אפיק נאות גולן,2289,secular,29,29
כפר טרומן,5281,secular,43,43
כפר יאסיף,1023,arab,24,24_arab
כפר יהושע שדה יעקב בית זיד,4161,secular,23,23_jewish
כפר יונה,27041,secular,41,41_jewish
כפר יחזקאל גבע גדעונה נורית,3646,secular,23,23_jewish
כפר יעבץ עזריאל יעף,5423,secular,41,41_jewish
כפר כמא,3437,secular,22,22_jewish
כפר כנא,2589,arab,23,23_arab
כפר מונש מדרשת רופין,1789,secular,41,41_jewish
כפר מלל,1806,secular,42,42_secular
כפר מנדא,51,arab,24,24_arab
כפר מסריק,3548,secular,24,24_jewish
כפר סבא,103083,secular,42,42_secular
כפר סילבר גיאה הודייה תלמי יפה ברכיה בית שקמה משען בת הדר,6549,secular,61,61
כפר סירקין,5136,secular,42,42_secular
כפר עציון מגדל עוז ראש צורים אלון שבות בת עין,22936,secular,71,71
כפר פינס עין עירון,1763,secular,32,32_jewish
כפר קאסם,12887,arab,42,42_arab
כפר קרע,7263,arab,32,32_arab
כפר ראש הנקרה לימן,3317,secular,24,24_jewish
כפר שמריהו,2593,secular,51,51
כפר תבור שרונה שדמות דבורה כפר קיש,7695,secular,22,22_jewish
כפר תפוח שילה מגדלים עלי רחלים,43318,secular,71,71
כרם בן שמן גינתון בן שמן (כפר נוער) בן שמן (מושב),3312,secular,43,43
"כרם מהר""ל צרופה הבונים עופר",5842,secular,32,32_jewish
כרמי יוסף,1199,secular,43,43
כרמי צור,15768,secular,71,71
כרמיאל,49499,secular,24,24_jewish
כרמית כרמים,3561,secular,62,62_jewish
כרמל מעון פני חבר מצדות יהודה סוסיה,38224,secular,71,71
לבון חלוץ,291,secular,24,24_jewish
לביא,2483,secular,22,22_jewish
להב סנסנה,11167,secular,62,62_jewish
להבים,17912,secular,62,62_jewish
לוד,34677,secular,43,43
לוזית נחושה עגור גבעת ישעיהו צפרירים שריגים (לי-און) כפר זוהרים,7083,secular,11,11
לקיה,1982,arab,62_arab,62_arab
מבוא ביתר,2046,secular,11,11
מבוא דותן חרמש,23698,secular,71,71
מבוא חורון,3145,secular,71,71
מבוא מודיעים,2816,secular,43,43
מבשרת ציון,14321,secular,11,11
מגאר,17201,arab,22,22_arab
מגד אל-כרום,2757,arab,24,24_arab
מגדל גינוסר חוקוק חמאם לבנים,2499,secular,22,22_jewish
מגדל העמק,14868,secular,23,23_jewish
מגדל שמס נווה אטיב,5786,secular,29,29
מגל להבות חביבה שדה יצחק מאור,11342,secular,32,32_jewish
מגשימים,2003,secular,42,42_secular
מודיעין עילית,50718,orth,71,71_haredi
מודיעין-מכבים-רעות*,63883,secular,43,43
מולדה,5907,secular,62_arab,62_arab
מולדת רמת צבי טייבה (בעמק),1721,secular,23,23_jewish
מוצא עילית,1160,secular,11,11
מוקייבלה צנדלה מגן שאול,21537,arab,23,23_arab
מורן לוטם צביה כמון מכמנים סלמה כמאנה חוסנייה ראס אל-עין,9151,secular,24,24_jewish
מזכרת בתיה,12036,secular,44,44
מחנה יתיר הר עמשא שני,11552,secular,62,62_jewish
מחסיה,809,secular,11,11
מטולה כפר גלעדי,1780,secular,21,21
מטע,1369,secular,11,11
מי עמי,2735,secular,32,32_jewish
מירב,813,secular,23,23_jewish
מירון כפר חושן בר יוחאי אור הגנוז,2877,secular,21,21
מיתר,13199,secular,62,62_jewish
מכחול דריגאת כחלה,8247,secular,62_arab,62_arab
מלכישוע,684,secular,71,71
מנחמיה אשדות יעקב (מאוחד) אשדות יעקב (איחוד) גשר,843,secular,22,22_jewish
מנרה משגב עם מרגליות,488,secular,21,21
מסלול פטיש פדויים רנן,2290,secular,62,62_jewish
מסעדה עין קנייא,12995,secular,29,29
מעגן מיכאל,3210,secular,32,32_jewish
מעוז חיים כפר רופין נווה איתן,590,secular,23,23_jewish
מעיין צבי,971,secular,32,32_jewish
מעיליא,2247,secular,24,24_jewish
מעלה אדומים,58653,secular,71,71
מעלה אפרים,257,secular,71,71
מעלה גלבוע,10974,secular,23,23_jewish
מעלה גמלא חד-נס כנף,1913,secular,29,29
מעלה לבונה,3835,secular,71,71
מעלה מכמש,946,secular,71,71
מעלה עירון,16401,arab,32,32_arab
מעלה עמוס אספר,13889,orth,71,71_haredi
מעלה שומרון קרני שומרון,12767,secular,71,71
מעלות-תרשיחא,8868,secular,24,24_jewish
מענית ברקאי,10015,secular,32,32_jewish
מצליח,4190,secular,43,43
"מצפה אבי""ב",629,secular,24,24_jewish
מצפה אילן  אום אל-קוטוף,1802,secular,32,32_jewish
מצפה יריחו ורד יריחו,6343,secular,71,71
מצפה כפר חיטים ארבל כפר זיתים,6395,secular,22,22_jewish
מצפה נטופה,171,secular,23,23_jewish
מצפה רמון,6458,secular,62,62_jewish
מצפה שלם אבנת,10204,secular,71,71
מצר מייסר,6899,secular,32,32_jewish
מקווה ישראל,4332,secular,51,51
מרחביה (קיבוץ) מרחביה (מושב) סולם,10666,secular,23,23_jewish
משאבי שדה טללים,1947,secular,62,62_jewish
משהד,4306,arab,23,23_arab
משמר איילון כפר בן נון,3972,secular,43,43
משמר הנגב,3077,secular,62,62_jewish
משמר העמק הזורע מגידו היוגב גבעת עוז מדרך עוז,19907,secular,23,23_jewish
משמר השבעה,3472,secular,43,43
משמרות,467,secular,32,32_jewish
מתתיהו,4567,orth,71,71_haredi
נאות סמדר שיטים נווה חריף,1973,secular,62,62_jewish
נאעורה טמרה (יזרעאל),4768,arab,23,23_arab
נבטים,4862,secular,62,62_jewish
נגוהות,6532,secular,71,71
נהלל גיניגר שריד כפר ברוך גבת יפעת רמת דוד,14898,secular,23,23_jewish
נהרייה,44152,secular,24,24_jewish
נווה אילן יד השמונה נטף,8766,secular,11,11
נווה זוהר ים המלח - בתי מלון מפעלי ים המלח(סדום),4644,secular,62,62_jewish
נווה זיו,299,secular,24,24_jewish
נווה ימין,8483,secular,42,42_secular
נווה ירק,5414,secular,42,42_secular
נועם איתן אבן שמואל אחוזם עוזה שלווה,4588,secular,61,61
נופית,3497,secular,31,31_jewish
נופך נחלים בארות יצחק מזור רינתיה,9776,secular,42,42_secular
נורדייה גנות הדר,4113,secular,41,41_jewish
נחם,1378,secular,11,11
נחף,1173,arab,24,24_arab
נחשולים,595,secular,32,32_jewish
נחשונים,4177,secular,42,42_secular
נטור רמות,1429,secular,29,29
נטעים גן שורק,3231,secular,44,44
"נילי נעלה""",7006,secular,71,71
ניצן ניצנים ניר ישראל באר גנים ניצן ב,7241,secular,61,61
ניצנה (קהילת חינוך) באר מילכה ניצני סיני כמהין,4122,secular,62,62_jewish
ניצני עוז,8393,secular,41,41_jewish
ניר אליהו,7370,secular,42,42_secular
ניר דוד (תל עמל) שדה נחום מסילות רשפים שלוחות,2739,secular,23,23_jewish
ניר עוז בארי נירים עין השלושה מגן רעים כיסופים עין הבשור מפעלי מעון,7216,secular,62,62_jewish
ניר צבי,6531,secular,43,43
נס ציונה,48633,secular,44,44
נען סתרייה רמות מאיר גני הדר,9716,secular,43,43
נצר סרני,4734,secular,43,43
נוף הגליל,39260,secular,23,23_jewish
נצרת,51128,arab,23,23_arab
נשר,16316,secular,31,31_jewish
"נתיב הגדוד תומר יפית משואה גלגל ייטב פצאל נירן נעמ""ה""",13238,secular,71,71
"נתיב הלה אביעזר נווה מיכאל אדרת""",21314,secular,11,11
נתיבות,10845,orth,62,62_jewish
נתניה,166672,secular,41,41_jewish
סאגור שזור,7725,secular,24,24_jewish
סאסא צבעון,851,secular,21,21
סביון*,7854,secular,42,42_secular
סואעד (חמרייה)* ראס עלי עדי הרדוף חואלד,8466,secular,23,23_jewish
סחנין,30131,arab,24,24_arab
סלעית צופים,18074,secular,71,71
סער גשר הזיו,3770,secular,24,24_jewish
עברון מזרעה בן עמי,9528,arab,24,24_arab
עגר,997,secular,29,29
עדנים,711,secular,42,42_secular
עוזייר רומאנה רומת הייב בית רימון,826,arab,23,23_arab
עומר,12040,secular,62,62_jewish
עזוז,3103,secular,62,62_jewish
עיילבון,7422,arab,22,22_arab
עיינות,1318,secular,44,44
עילוט,14261,arab,23,23_arab
עין איילה,2358,secular,32,32_jewish
עין אל-אסד,103,secular,24,24_jewish
עין גב מעגן האון תל קציר,920,secular,22,22_jewish
עין גדי כפר הנוקדים,4498,secular,62,62_jewish
עין דור גזית כפר מצר,6989,secular,22,22_jewish
עין הוד בית צבי ניר עציון עין חוד,2465,secular,32,32_jewish
עין החורש גבעת חיים (מאוחד) חגלה גבעת חיים (איחוד),4365,secular,41,41_jewish
עין המפרץ,2320,secular,24,24_jewish
עין השופט דלייה רמת השופט עין העמק גלעד (אבן יצחק) רמות מנשה,5436,secular,23,23_jewish
עין ורד פורת עין שריד,8667,secular,41,41_jewish
עין חצבה נאות הכיכר עין תמר,2868,secular,62,62_jewish
עין חרוד (מאוחד) תל יוסף עין חרוד (איחוד),4331,secular,23,23_jewish
"עין כרם-ביס חקלאי""",1382,secular,11,11
עין כרמל גבע כרמל,2573,secular,32,32_jewish
עין מאהל,17,arab,23,23_arab
עין ראפה עין נקובא,2619,secular,11,11
עין שמר גן השומרון שער מנשה,2718,secular,32,32_jewish
עינת,2200,secular,42,42_secular
עכו,35070,secular,24,24_jewish
עלי זהב ברוכין פדואל,11145,secular,71,71
עלמון,1515,secular,71,71
עמינדב,8526,secular,11,11
עמיעד אליפלט כורזים,3582,secular,21,21
עמיעוז גבולות ניר יצחק צאלים מבטחים ישע אוהד תלמי אליהו שדה ניצן כרם שלום צוחרשדי אברהם יתד פרי גן יבול תלמי יוסף סופהחולית דקל אבשלום בני נצרים שלומית נווה,14950,secular,62,62_jewish
עמיר שדה נחמיה כפר בלום שמיר להבות הבשן נאות מרדכי גונן,6133,secular,21,21
עמנואל,4092,orth,71,71_haredi
עספיא,10058,arab,31,31_arab
עפולה,35794,secular,23,23_jewish
עפרה,4725,secular,71,71
עצמון שגב יעד רקפת,2782,secular,24,24_jewish
עראבה,47,arab,24,24_arab
ערד,14753,secular,62,62_jewish
ערוגות כפר אחים חצב תלמי יחיאל אחווה ינון,10628,secular,61,61
ערערה-בנגב,13841,arab,62_arab,62_arab
ערערה,13692,arab,32,32_arab
עתלית,9232,secular,32,32_jewish
עתניאל שמעה,17146,secular,71,71
פוריידיס,10217,secular,32,32_jewish
פלמחים,2260,secular,44,44
פסגות,20488,secular,71,71
פסוטה אלקוש נטועה מתת אבירים,7438,secular,24,24_jewish
פקיעין חדשה פקיעין (בוקייעה),608,secular,24,24_jewish
פרדס חנה אזורים סטטיסטיים 78 ונווה אבות,10807,secular,32,32_jewish
פרדס חנה-כרכור,26275,secular,32,32_jewish
פרדסייה,5410,secular,41,41_jewish
פרוד כפר שמאי שפר אמירים כפר חנניה,6827,secular,21,21
פתח תקווה,203201,secular,42,42_secular
צופית גן חיים שדה ורבורג,11320,secular,42,42_secular
צופר פארן ספיר צוקים,4785,secular,62,62_jewish
צור הדסה,6985,secular,11,11
צור משה,3420,secular,41,41_jewish
צור נתן צור יצחק,7418,secular,42,42_secular
ציפורי הסוללים הושעיה שמשית,10324,secular,23,23_jewish
צפרייה,4870,secular,43,43
צפת,1678,orth,21,21
קבוצת יבנה בית רבן כרם יבנה (ישיבה),1164,secular,44,44
קדומים,8864,secular,71,71
קדימה-צורן,18049,secular,41,41_jewish
קדר,77,secular,71,71
קדרון,5355,secular,44,44
קדרים רביד כלנית מסד,2607,secular,22,22_jewish
קיסריה,7815,secular,32,32_jewish
קלנסווה,17480,arab,41,41_arab
קציר-חריש,7931,secular,32,32_jewish
קצר א-סר,3981,arab,62_arab,62_arab
קצרין,3493,secular,29,29
קריית ארבע,52584,secular,71,71
קריית אתא,47684,secular,31,31_jewish
קריית ביאליק,37445,secular,31,31_jewish
קריית גת,37921,secular,61,61
קריית טבעון,8873,secular,31,31_jewish
קריית ים,29151,secular,31,31_jewish
קריית יערים,214,orth,11,11_haredi
קריית מוצקין,37809,secular,31,31_jewish
קריית מלאכי,15468,secular,61,61
קריית ענבים מעלה החמישה בית נקופה,4922,secular,11,11
קריית עקרון,9502,secular,44,44
קריית שמונה,14856,secular,21,21
קרית אונו,41623,secular,51,51
קשת יונתן אניעם אורטל אלוני הבשן קדמת צבי עין זיוון,1956,secular,29,29
ראמה,6762,arab,24,24_arab
ראש העין,42518,secular,42,42_secular
ראש פינה,5067,secular,21,21
ראשון לציון,235395,secular,44,44
רביבים רתמים,1357,secular,62,62_jewish
רהט,64054,arab,62_arab,62_arab
רחוב תל תאומים רוויה שדי תרומות,976,secular,23,23_jewish
רחובות,114819,secular,44,44
ריחן חיננית שקד,17518,secular,71,71
ריינה,17124,arab,23,23_arab
רכסים,2838,orth,31,31_jewish
רמות השבים,3338,secular,42,42_secular
רמות נפתלי יפתח מלכייה דישון,2803,secular,21,21
רמלה,46934,secular,43,43
רמת גן,155039,secular,51,51
רמת הכובש,1477,secular,42,42_secular
רמת השרון,54223,secular,51,51
רמת יוחנן כפר המכבי אושה,18070,secular,31,31_jewish
רמת ישי בית שערים,5328,secular,23,23_jewish
רמת רזיאל צובה גבעת יערים כסלון איתנים,10854,secular,11,11
רמת רחל,5445,secular,11,11
רעננה,70864,secular,42,42_secular
שבי ציון רגבה לוחמי הגיטאות נס עמים,2598,secular,24,24_jewish
שבי שומרון ענב אבני חפץ,32819,secular,71,71
שבלי - אום אל-גנם,710,secular,23,23_jewish
שגב-שלום,8761,arab,62_arab,62_arab
שדה בוקר מדרשת בן גוריון מרחב עם,5094,secular,62,62_jewish
שדה דוד זוהר ברור חיל תלמים חלץ כוכב מיכאל,8188,secular,61,61
שדה יואב נגבה קוממיות יד נתן זבדיאל אלומה רווחה,4750,secular,61,61
שדות ים,2423,secular,32,32_jewish
שדי חמד,4811,secular,42,42_secular
שדמה עשרת מישר כפר מרדכי משגב דב כפר אביב,5790,secular,44,44
שדמות מחולה ארגמן מחולה בקעות רועי חמדת רותם משכיות,10066,secular,71,71
שדרות,15493,secular,61,61
שובל,4263,secular,62,62_jewish
שוהם,17860,secular,43,43
שומרה שתולה אבן מנחם כפר רוזנואלד (זרעית),1673,secular,24,24_jewish
שוקדה תקומה שובה נחל עוז זמרת תושייה כפר מימון עלומים,5692,secular,62,62_jewish
שורש שואבה בית מאיר,2620,secular,11,11
שושנת העמקים חבצלת השרון ביתן אהרן גבעת שפירא צוקי ים בת חן,4045,secular,41,41_jewish
"שחר ניר חן עוצם נוגה נהורה""",5950,secular,61,61
שילת כפר רות לפיד,12523,secular,43,43
שמרת בוסתן הגליל,4348,secular,24,24_jewish
שעב,12100,arab,24,24_arab
שעלבים נוף איילון,6570,secular,43,43
שער אפרים,5573,secular,41,41_jewish
